season,round,driver_id,constructor_id,grid,position,position_text,points,laps,status
2026,3,antonelli,mercedes,1,1,1,25,53,Finished
2026,3,piastri,mclaren,3,2,2,18,53,Finished
2026,3,leclerc,ferrari,4,3,3,15,53,Finished
2026,3,russell,mercedes,2,4,4,12,53,Finished
2026,3,norris,mclaren,5,5,5,10,53,Finished
2026,3,hamilton,ferrari,6,6,6,8,53,Finished
2026,3,gasly,alpine,7,7,7,6,53,Finished
2026,3,max_verstappen,red_bull,11,8,8,4,53,Finished
2026,3,lawson,rb,14,9,9,2,53,Finished
2026,3,ocon,haas,12,10,10,1,53,Finished
2026,3,hulkenberg,audi,13,11,11,0,53,Finished
2026,3,hadjar,red_bull,8,12,12,0,53,Finished
2026,3,bortoleto,audi,9,13,13,0,53,Finished
2026,3,arvid_lindblad,rb,10,14,14,0,53,Finished
2026,3,sainz,williams,16,15,15,0,53,Finished
2026,3,colapinto,alpine,15,16,16,0,53,Finished
2026,3,perez,cadillac,19,17,17,0,53,Finished
2026,3,alonso,aston_martin,21,18,18,0,52,Lapped
2026,3,bottas,cadillac,20,19,19,0,52,Lapped
2026,3,albon,williams,17,20,20,0,51,Lapped
2026,3,stroll,aston_martin,22,21,R,0,30,Retired
2026,3,bearman,haas,18,22,R,0,20,Retired
