season,round,driver_id,constructor_id,grid,position,position_text,points,laps,status
2026,10,antonelli,mercedes,1,1,1,25,44,Finished
2026,10,leclerc,ferrari,4,2,2,18,44,Finished
2026,10,max_verstappen,red_bull,2,3,3,15,44,Finished
2026,10,hamilton,ferrari,5,4,4,12,44,Finished
2026,10,piastri,mclaren,6,5,5,10,44,Finished
2026,10,hadjar,red_bull,21,6,6,8,44,Finished
2026,10,norris,mclaren,13,7,7,6,44,Finished
2026,10,bortoleto,audi,8,8,8,4,44,Finished
2026,10,arvid_lindblad,rb,7,9,9,2,44,Finished
2026,10,colapinto,alpine,11,10,10,1,44,Finished
2026,10,gasly,alpine,10,11,11,0,44,Finished
2026,10,lawson,rb,9,12,12,0,44,Finished
2026,10,hulkenberg,audi,12,13,13,0,44,Finished
2026,10,bearman,haas,14,14,14,0,44,Finished
2026,10,albon,williams,15,15,15,0,44,Finished
2026,10,sainz,williams,19,16,16,0,44,Finished
2026,10,ocon,haas,16,17,17,0,44,Finished
2026,10,bottas,cadillac,17,18,18,0,43,Lapped
2026,10,alonso,aston_martin,22,19,19,0,42,Lapped
2026,10,stroll,aston_martin,20,20,R,0,25,Retired
2026,10,perez,cadillac,18,21,R,0,13,Retired
2026,10,russell,mercedes,3,22,R,0,0,Retired
