season,round,driver_id,constructor_id,grid,position,position_text,points,laps,status
2026,6,antonelli,mercedes,1,1,1,25,78,Finished
2026,6,hamilton,ferrari,3,2,2,18,78,Finished
2026,6,gasly,alpine,9,3,3,15,78,Finished
2026,6,hadjar,red_bull,5,4,4,12,78,Finished
2026,6,piastri,mclaren,7,5,5,10,78,Finished
2026,6,lawson,rb,10,6,6,8,78,Finished
2026,6,arvid_lindblad,rb,15,7,7,6,78,Finished
2026,6,albon,williams,11,8,8,4,78,Finished
2026,6,ocon,haas,17,9,9,2,78,Finished
2026,6,alonso,aston_martin,21,10,10,1,78,Finished
2026,6,bortoleto,audi,16,11,11,0,78,Finished
2026,6,russell,mercedes,6,12,12,0,78,Finished
2026,6,hulkenberg,audi,13,13,13,0,78,Finished
2026,6,colapinto,alpine,14,14,14,0,78,Finished
2026,6,perez,cadillac,18,15,15,0,78,Finished
2026,6,sainz,williams,12,16,16,0,70,Retired
2026,6,leclerc,ferrari,4,17,R,0,64,Retired
2026,6,stroll,aston_martin,22,18,R,0,56,Retired
2026,6,norris,mclaren,8,19,R,0,43,Retired
2026,6,bearman,haas,19,20,R,0,27,Retired
2026,6,bottas,cadillac,20,21,R,0,15,Retired
2026,6,max_verstappen,red_bull,2,22,R,0,0,Retired
