season,round,driver_id,constructor_id,grid,position,position_text,points,laps,status
2026,8,russell,mercedes,1,1,1,25,71,Finished
2026,8,max_verstappen,red_bull,5,2,2,18,71,Finished
2026,8,antonelli,mercedes,4,3,3,15,71,Finished
2026,8,piastri,mclaren,7,4,4,12,71,Finished
2026,8,hamilton,ferrari,3,5,5,10,71,Finished
2026,8,hadjar,red_bull,8,6,6,8,71,Finished
2026,8,norris,mclaren,6,7,7,6,71,Finished
2026,8,leclerc,ferrari,2,8,8,4,71,Finished
2026,8,lawson,rb,9,9,9,2,70,Lapped
2026,8,arvid_lindblad,rb,10,10,10,1,70,Lapped
2026,8,bortoleto,audi,12,11,11,0,70,Lapped
2026,8,hulkenberg,audi,14,12,12,0,70,Lapped
2026,8,gasly,alpine,11,13,13,0,70,Lapped
2026,8,bearman,haas,13,14,14,0,70,Lapped
2026,8,colapinto,alpine,16,15,15,0,70,Lapped
2026,8,ocon,haas,15,16,16,0,69,Lapped
2026,8,albon,williams,18,17,17,0,69,Lapped
2026,8,alonso,aston_martin,21,18,18,0,68,Lapped
2026,8,stroll,aston_martin,22,19,R,0,45,Retired
2026,8,sainz,williams,17,20,R,0,23,Retired
2026,8,perez,cadillac,19,21,R,0,4,Retired
2026,8,bottas,cadillac,20,22,R,0,2,Retired
