season,round,driver_id,constructor_id,grid,position,position_text,points,laps,status
2026,9,leclerc,ferrari,2,1,1,25,52,Finished
2026,9,russell,mercedes,4,2,2,18,52,Finished
2026,9,hamilton,ferrari,3,3,3,15,52,Finished
2026,9,norris,mclaren,6,4,4,12,52,Finished
2026,9,hadjar,red_bull,5,5,5,10,52,Finished
2026,9,lawson,rb,10,6,6,8,52,Finished
2026,9,arvid_lindblad,rb,9,7,7,6,52,Finished
2026,9,bortoleto,audi,11,8,8,4,52,Finished
2026,9,colapinto,alpine,19,9,9,2,52,Finished
2026,9,gasly,alpine,15,10,10,1,52,Finished
2026,9,piastri,mclaren,8,11,11,0,52,Finished
2026,9,bearman,haas,13,12,12,0,52,Finished
2026,9,ocon,haas,17,13,13,0,52,Finished
2026,9,perez,cadillac,20,14,14,0,52,Finished
2026,9,antonelli,mercedes,1,15,15,0,52,Finished
2026,9,bottas,cadillac,18,16,16,0,52,Finished
2026,9,sainz,williams,14,17,17,0,51,Lapped
2026,9,alonso,aston_martin,21,18,18,0,51,Lapped
2026,9,stroll,aston_martin,22,19,19,0,51,Lapped
2026,9,max_verstappen,red_bull,7,20,20,0,46,Retired
2026,9,albon,williams,16,21,R,0,43,Retired
2026,9,hulkenberg,audi,12,22,R,0,36,Retired
