season,round,driver_id,constructor_id,grid,position,position_text,points,laps,status
2026,4,antonelli,mercedes,1,1,1,25,57,Finished
2026,4,norris,mclaren,4,2,2,18,57,Finished
2026,4,piastri,mclaren,7,3,3,15,57,Finished
2026,4,russell,mercedes,5,4,4,12,57,Finished
2026,4,max_verstappen,red_bull,2,5,5,10,57,Finished
2026,4,hamilton,ferrari,6,6,6,8,57,Finished
2026,4,colapinto,alpine,8,7,7,6,57,Finished
2026,4,leclerc,ferrari,3,8,8,4,57,Finished
2026,4,sainz,williams,13,9,9,2,57,Finished
2026,4,albon,williams,15,10,10,1,57,Finished
2026,4,bearman,haas,12,11,11,0,56,Lapped
2026,4,bortoleto,audi,21,12,12,0,56,Lapped
2026,4,ocon,haas,14,13,13,0,56,Lapped
2026,4,arvid_lindblad,rb,16,14,14,0,56,Lapped
2026,4,alonso,aston_martin,17,15,15,0,56,Lapped
2026,4,perez,cadillac,20,16,16,0,56,Lapped
2026,4,stroll,aston_martin,18,17,17,0,56,Lapped
2026,4,bottas,cadillac,19,18,18,0,55,Lapped
2026,4,hulkenberg,audi,10,19,R,0,7,Retired
2026,4,lawson,rb,11,20,R,0,6,Retired
2026,4,gasly,alpine,9,21,R,0,4,Retired
2026,4,hadjar,red_bull,22,22,R,0,4,Retired
