season,round,driver_id,constructor_id,grid,position,position_text,points,laps,status
2026,7,hamilton,ferrari,2,1,1,25,66,Finished
2026,7,russell,mercedes,1,2,2,18,66,Finished
2026,7,norris,mclaren,4,3,3,15,66,Finished
2026,7,max_verstappen,red_bull,5,4,4,12,66,Finished
2026,7,piastri,mclaren,7,5,5,10,66,Finished
2026,7,hadjar,red_bull,6,6,6,8,65,Lapped
2026,7,gasly,alpine,14,7,7,6,65,Lapped
2026,7,lawson,rb,8,8,8,4,65,Lapped
2026,7,arvid_lindblad,rb,11,9,9,2,65,Lapped
2026,7,colapinto,alpine,13,10,10,1,65,Lapped
2026,7,bortoleto,audi,12,11,11,0,64,Lapped
2026,7,sainz,williams,16,12,12,0,64,Lapped
2026,7,ocon,haas,17,13,13,0,64,Lapped
2026,7,perez,cadillac,19,14,14,0,63,Lapped
2026,7,leclerc,ferrari,10,15,15,0,62,Retired
2026,7,antonelli,mercedes,3,16,16,0,61,Retired
2026,7,bearman,haas,15,17,17,0,60,Retired
2026,7,albon,williams,18,18,R,0,55,Lapped
2026,7,alonso,aston_martin,22,19,R,0,37,Retired
2026,7,hulkenberg,audi,9,20,R,0,29,Retired
2026,7,bottas,cadillac,20,21,R,0,15,Retired
2026,7,stroll,aston_martin,21,22,R,0,5,Retired
